Standard Name,Scientific Name,Authority,CAAB Code,Family or Group,Date Added,Imported Only
Mulloway,Argyrosomus japonicus,"(Temminck & Schlegel, 1843)",37 354001,Sciaenidae (Jewfishes),01/01/2002,
Murray Cod,Maccullochella spp.,,37 311903,Percichthyidae (Temperate Basses),01/01/2002,
New Zealand Brill,Colistium guntheri,"(Hutton, 1873)",37 461790,Pleuronectidae (Righteye Flounders),07/10/2002,I
New Zealand Lemon Sole,Pelotretis flavilatus,"Waite, 1911",37 461796,Pleuronectidae (Righteye Flounders),04/03/2004,I
New Zealand Turbot,Colistium nudipinnis,"(Waite, 1911)",37 461797,Pleuronectidae (Righteye Flounders),07/10/2002,I
Nile Perch,Lates niloticus,"(Linnaeus, 1758)",37 310790,Latidae (Giant Perches),01/01/2002,I
North Sea Whiting,Merlangius merlangus,"(Linnaeus, 1758)",37 226794,Gadidae (Cods),01/01/2002,I
Northern Bluefin Tuna,Thunnus orientalis,"(Temminck & Schlegel, 1844)",37 441026,Scombridae (Mackerels),08/03/2005,
Northern Sand Flathead,Platycephalus endrachtensis,"Quoy & Gaimard, 1825",37 296021,Platycephalidae (Flatheads),01/01/2002,
Ocean Jacket,Nelusetta ayraud,"(Quoy & Gaimard, 1824)",37 465006,Monacanthidae (Leatherjackets),01/01/2002,
Ocean Perch,Helicolenus barathri & Helicolenus percoides,,37 287901,Scorpaenidae (Scorpionfishes),01/01/2002,
Oilfish,Ruvettus pretiosus,"Cocco, 1829",37 439003,Gempylidae (Gemfishes),07/10/2002,
Orange Roughy,Hoplostethus atlanticus,"Collett, 1889",37 255009,Trachichthyidae (Roughies),01/01/2002,
Ornate Snapper,Pristipomoides argyrogrammicus,"(Valenciennes, 1832)",37 346054,Lutjanidae (Tropical Snappers),31/05/2006,
Oxeye Herring,Megalops cyprinoides,"(Broussonet, 1782)",37 054001,Megalopidae (Tarpons),31/05/2006,
Pacific Cod,Gadus macrocephalus,"Tilesius, 1810",37 226791,Gadidae (Cods),07/10/2002,I
Painted Grinner,Trachinocephalus myops,"(Forster, 1801)",37 118002,Synodontidae (Lizardfishes),31/05/2006,
Parrotfish,Scaridae - undifferentiated,,37 386000,Scaridae (Parrotfishes),01/01/2002,
Patagonian Toothfish,Dissostichus eleginoides,"Smitt, 1898",37 404792,Nototheniidae (Icefishes),01/01/2002,I
Pearl Perch,Glaucosoma spp.,,37 320901,Glaucosomatidae (Pearl Perches),01/01/2002,
Pelagic Armourhead,Pseudopentaceros richardsoni,"(Smith, 1844)",37 367009,Pentacerotidae (Boarfishes),08/03/2005,
Pigfish,Bodianus spp.,,37 384904,Labridae (Wrasses),01/01/2002,
Pikey Bream,Acanthopagrus pacificus,"Iwatsuki, Kume & Yoshino, 2010",37 353011,Sparidae (Breams),01/01/2002,
Pilchard,Sardina & Sardinops spp.,,37 085903,Clupeidae (Herrings),29/04/2002,
Pink Ling,Genypterus blacodes,"(Forster, 1801)",37 228002,Ophidiidae (Cusk Eels),01/01/2002,
Plaice,Pleuronectes platessa,"Linnaeus, 1758",37 461792,Pleuronectidae (Righteye Flounders),01/01/2002,I
Queenfish,Scomberoides spp.,,37 337905,Carangidae (Trevallies),01/01/2002,
Rabbitfish,Siganus spp.,,37 438902,Siganidae (Rabbitfishes),01/01/2002,
Rankin Cod,Epinephelus multinotatus,"(Peters, 1876)",37 311010,Serranidae (Rockcods),08/03/2005,
Ray's Bream,Bramidae - undifferentiated,,37 342000,Bramidae (Pomfrets),01/01/2002,
Red Bass,Lutjanus bohar,"(Forsskål, 1775)",37 346029,Lutjanidae (Tropical Snappers),07/10/2002,
Red Bullseye,Priacanthus spp.,,37 326901,Priacanthidae (Bigeyes),01/01/2002,
Red Emperor,Lutjanus sebae,"(Cuvier, 1828)",37 346004,Lutjanidae (Tropical Snappers),07/10/2002,
Red Gurnard,Chelidonichthys kumu,"(Cuvier, 1829)",37 288001,Triglidae (Searobins),01/01/2002,
Red Morwong,Cheilodactylus fuscus,"Castelnau, 1879",37 377009,Cheilodactylidae (Morwongs),01/01/2002,
Red Mullet,Mullidae - undifferentiated,,37 355000,Mullidae (Goatfishes),01/01/2002,
Red Pinjalo,Pinjalo lewisi,"Randall, Allen & Anderson, 1987",37 346067,Lutjanidae (Tropical Snappers),14/10/2005,
Redbait,Emmelichthys spp.,,37 345901,Emmelichthyidae (Bonnetmouths),01/01/2002,
Redfin,Perca fluviatilis,"Linnaeus, 1758",37 329001,Percidae (Perches),01/01/2002,
Redfish,Centroberyx affinis,"(Günther, 1859)",37 258003,Berycidae (Alfonsinos),01/01/2002,
Redspot Emperor,Lethrinus lentjan,"(Lacépède, 1802)",37 351007,Lethrinidae (Emperors),01/01/2002,
Redthroat Emperor,Lethrinus miniatus,"(Forster, 1801)",37 351009,Lethrinidae (Emperors),01/01/2002,
Reef Leatherjacket,Meuschenia spp.,,37 465902,Monacanthidae (Leatherjackets),01/01/2002,
Reef Ocean Perch,Helicolenus percoides,"(Richardson, 1842)",37 287001,Sebastidae (Ocean Perches),31/05/2006,
Ribaldo,Mora moro & Lepidion spp.,,37 224901,Moridae (Morid Cods),01/01/2002,
Ribbonfish,Trichiuridae - undifferentiated,,37 440000,Trichiuridae (Cutlassfishes),29/04/2002,
River Garfish,Hyporhamphus regularis,"(Günther, 1866)",37 234012,Hemiramphidae (Garfishes),01/01/2002,
Robinson's Seabream,Gymnocranius grandoculis,"(Valenciennes, 1830)",37 351005,Lethrinidae (Emperors),08/03/2005,
Rock Flathead,Platycephalus laevigatus,"Cuvier, 1829",37 296006,Platycephalidae (Flatheads),01/01/2002,
Rock Ling,Genypterus tigerinus,"Klunzinger, 1872",37 228008,Ophidiidae (Cusk Eels),01/01/2002,
Rockcod,Aethaloperca & Anyperodon spp.,,37 311901,Serranidae (Rockcods),22/09/2004,
Rosy Snapper,Pristipomoides filamentosus,"(Valenciennes, 1830)",37 346032,Lutjanidae (Tropical Snappers),07/10/2002,
Royal Basa,Pangasius bocourti,"Sauvage, 1880",37 177751,Pangasiidae (Shark Catfishes),07/10/2002,I
Ruby Snapper,Etelis spp.,,37 346914,Lutjanidae (Tropical Snappers),07/10/2002,
Rubyfish,Plagiogeneion spp.,,37 345900,Emmelichthyidae (Bonnetmouths),01/01/2002,
Rudderfish,"Centrolophus, Schedophilus & Tubbia spp.",,37 445903,Centrolophidae (Trevallas),01/01/2002,
